"num_drs","drs","municipio"
1,GRANDE SÃO PAULO,ARUJÁ
1,GRANDE SÃO PAULO,BARUERI
1,GRANDE SÃO PAULO,BIRITIBA-MIRIM
1,GRANDE SÃO PAULO,CAIEIRAS
1,GRANDE SÃO PAULO,CAJAMAR
1,GRANDE SÃO PAULO,CARAPICUÍBA
1,GRANDE SÃO PAULO,COTIA
1,GRANDE SÃO PAULO,DIADEMA
1,GRANDE SÃO PAULO,EMBU
1,GRANDE SÃO PAULO,EMBU-GUAÇU
1,GRANDE SÃO PAULO,FERRAZ DE VASCONCELOS
1,GRANDE SÃO PAULO,FRANCISCO MORATO
1,GRANDE SÃO PAULO,FRANCO DA ROCHA
1,GRANDE SÃO PAULO,GUARAREMA
1,GRANDE SÃO PAULO,GUARULHOS
1,GRANDE SÃO PAULO,ITAPECERICA DA SERRA
1,GRANDE SÃO PAULO,ITAPEVI
1,GRANDE SÃO PAULO,ITAQUAQUECETUBA
1,GRANDE SÃO PAULO,JANDIRA
1,GRANDE SÃO PAULO,JUQUITIBA
1,GRANDE SÃO PAULO,MAIRIPORÃ
1,GRANDE SÃO PAULO,MAUÁ
1,GRANDE SÃO PAULO,MOGI DAS CRUZES
1,GRANDE SÃO PAULO,OSASCO
1,GRANDE SÃO PAULO,PIRAPORA DO BOM JESUS
1,GRANDE SÃO PAULO,POÁ
1,GRANDE SÃO PAULO,RIBEIRÃO PIRES
1,GRANDE SÃO PAULO,RIO GRANDE DA SERRA
1,GRANDE SÃO PAULO,SALESÓPOLIS
1,GRANDE SÃO PAULO,SANTA ISABEL
1,GRANDE SÃO PAULO,SANTANA DE PARNAÍBA
1,GRANDE SÃO PAULO,SANTO ANDRÉ
1,GRANDE SÃO PAULO,SÃO BERNARDO DO CAMPO
1,GRANDE SÃO PAULO,SÃO CAETANO DO SUL
1,GRANDE SÃO PAULO,SÃO LOURENÇO DA SERRA
1,GRANDE SÃO PAULO,SÃO PAULO
1,GRANDE SÃO PAULO,SUZANO 
1,GRANDE SÃO PAULO,TABOÃO DA SERRA
1,GRANDE SÃO PAULO,VARGEM GRANDE PAULISTA
2,ARAÇATUBA,ALTO ALEGRE
2,ARAÇATUBA,ANDRADINA
2,ARAÇATUBA,ARAÇATUBA
2,ARAÇATUBA,AURIFLAMA
2,ARAÇATUBA,AVANHANDAVA
2,ARAÇATUBA,BARBOSA
2,ARAÇATUBA,BENTO DE ABREU
2,ARAÇATUBA,BILAC
2,ARAÇATUBA,BIRIGUI
2,ARAÇATUBA,BRAÚNA
2,ARAÇATUBA,BREJO ALEGRE
2,ARAÇATUBA,BURITAMA
2,ARAÇATUBA,CASTILHO
2,ARAÇATUBA,CLEMENTINA
2,ARAÇATUBA,COROADOS
2,ARAÇATUBA,GABRIEL MONTEIRO
2,ARAÇATUBA,GLICÉRIO
2,ARAÇATUBA,GUARAÇAÍ
2,ARAÇATUBA,GUARARAPES
2,ARAÇATUBA,GUZOLÂNDIA
2,ARAÇATUBA,ILHA SOLTEIRA
2,ARAÇATUBA,ITAPURA
2,ARAÇATUBA,LAVÍNIA
2,ARAÇATUBA,LOURDES
2,ARAÇATUBA,LUIZIÂNIA
2,ARAÇATUBA,MIRANDÓPOLIS
2,ARAÇATUBA,MURUTINGA DO SUL
2,ARAÇATUBA,NOVA CASTILHO
2,ARAÇATUBA,NOVA INDEPENDÊNCIA
2,ARAÇATUBA,NOVA LUZITÂNIA
2,ARAÇATUBA,PENÁPOLIS
2,ARAÇATUBA,PEREIRA BARRETO
2,ARAÇATUBA,PIACATU
2,ARAÇATUBA,RUBIÁCEA
2,ARAÇATUBA,SANTO ANTÔNIO DO ARACANGUÁ
2,ARAÇATUBA,SANTÓPOLIS DO AGUAPEÍ
2,ARAÇATUBA,SUD MENNUCCI
2,ARAÇATUBA,SUZANÁPOLIS
2,ARAÇATUBA,TURIÚBA
2,ARAÇATUBA,VALPARAÍSO
3,ARARAQUARA,AMÉRICO BRASILIENSE
3,ARARAQUARA,ARARAQUARA
3,ARARAQUARA,BOA ESPERANÇA DO SUL
3,ARARAQUARA,BORBOREMA
3,ARARAQUARA,CÂNDIDO RODRIGUES
3,ARARAQUARA,DESCALVADO
3,ARARAQUARA,DOBRADA
3,ARARAQUARA,DOURADO
3,ARARAQUARA,GAVIÃO PEIXOTO
3,ARARAQUARA,IBATÉ
3,ARARAQUARA,IBITINGA
3,ARARAQUARA,ITÁPOLIS
3,ARARAQUARA,MATÃO
3,ARARAQUARA,MOTUCA
3,ARARAQUARA,NOVA EUROPA
3,ARARAQUARA,PORTO FERREIRA
3,ARARAQUARA,RIBEIRÃO BONITO
3,ARARAQUARA,RINCÃO
3,ARARAQUARA,SANTA ERNESTINA
3,ARARAQUARA,SANTA LÚCIA
3,ARARAQUARA,SÃO CARLOS
3,ARARAQUARA,TABATINGA
3,ARARAQUARA,TAQUARITINGA
3,ARARAQUARA,TRABIJU
4,BAIXADA SANTISTA,BERTIOGA
4,BAIXADA SANTISTA,CUBATÃO
4,BAIXADA SANTISTA,GUARUJÁ
4,BAIXADA SANTISTA,ITANHAÉM
4,BAIXADA SANTISTA,MONGAGUÁ
4,BAIXADA SANTISTA,PERUÍBE
4,BAIXADA SANTISTA,PRAIA GRANDE
4,BAIXADA SANTISTA,SANTOS
4,BAIXADA SANTISTA,SÃO VICENTE
5,BARRETOS,ALTAIR
5,BARRETOS,BARRETOS
5,BARRETOS,BEBEDOURO
5,BARRETOS,CAJOBI
5,BARRETOS,COLINA
5,BARRETOS,COLÔMBIA
5,BARRETOS,GUAÍRA
5,BARRETOS,GUARACI
5,BARRETOS,JABORANDI
5,BARRETOS,MONTE AZUL PAULISTA
5,BARRETOS,OLÍMPIA
5,BARRETOS,SEVERÍNIA
5,BARRETOS,TAIAÇU
5,BARRETOS,TAIÚVA
5,BARRETOS,TAQUARAL
5,BARRETOS,TERRA ROXA
5,BARRETOS,VIRADOURO
5,BARRETOS,VISTA ALEGRE DO ALTO
6,BAURU,ÁGUAS DE SANTA BÁRBARA
6,BAURU,AGUDOS
6,BAURU,ANHEMBI
6,BAURU,ARANDU
6,BAURU,AREALVA
6,BAURU,AREIÓPOLIS
6,BAURU,AVAÍ
6,BAURU,AVARÉ
6,BAURU,BALBINOS
6,BAURU,BARÃO DE ANTONINA
6,BAURU,BARIRI
6,BAURU,BARRA BONITA
6,BAURU,BAURU
6,BAURU,BOCAINA
6,BAURU,BOFETE
6,BAURU,BORACÉIA
6,BAURU,BOREBI
6,BAURU,BOTUCATU
6,BAURU,BROTAS
6,BAURU,CABRÁLIA PAULISTA
6,BAURU,CAFELÂNDIA
6,BAURU,CERQUEIRA CÉSAR
6,BAURU,CONCHAS
6,BAURU,CORONEL MACEDO
6,BAURU,DOIS CÓRREGOS
6,BAURU,DUARTINA
6,BAURU,FARTURA
6,BAURU,GETULINA
6,BAURU,GUAIÇARA
6,BAURU,IACANGA
6,BAURU,IARAS
6,BAURU,IGARAÇU DO TIETÊ
6,BAURU,ITAÍ
6,BAURU,ITAJU
6,BAURU,ITAPORANGA
6,BAURU,ITAPUÍ
6,BAURU,ITATINGA
6,BAURU,JAÚ
6,BAURU,LARANJAL PAULISTA
6,BAURU,LENÇÓIS PAULISTA
6,BAURU,LINS
6,BAURU,LUCIANÓPOLIS
6,BAURU,MACATUBA
6,BAURU,MANDURI
6,BAURU,MINEIROS DO TIETÊ
6,BAURU,PARANAPANEMA
6,BAURU,PARDINHO
6,BAURU,PAULISTÂNIA
6,BAURU,PEDERNEIRAS
6,BAURU,PEREIRAS
6,BAURU,PIRAJU
6,BAURU,PIRAJUÍ
6,BAURU,PIRATININGA
6,BAURU,PONGAÍ
6,BAURU,PORANGABA
6,BAURU,PRATÂNIA
6,BAURU,PRESIDENTE ALVES
6,BAURU,PROMISSÃO
6,BAURU,REGINÓPOLIS
6,BAURU,SABINO
6,BAURU,SÃO MANUEL
6,BAURU,SARUTAIÁ
6,BAURU,TAGUAÍ
6,BAURU,TAQUARITUBA
6,BAURU,TEJUPÁ
6,BAURU,TORRE DE PEDRA
6,BAURU,TORRINHA
6,BAURU,URU
